Names	total	elements
		ADAMDEC1
		LNPEP
		FBXO22
		TMEM267
		PLP2
		FOLH1B
		TAGLN2
		DAB1
		MIS18A
		LPGAT1
		SOCS2-AS1
		THOC2
		COL15A1
		EZH2
		RBM24
		ARMC1
		SWAP70
		PON1
		GSTA4
		STEAP3
		DNASE1L3
		MBOAT1
		KIF11
		C8orf4
		TNFRSF11B
		HAO1
		TWF1
		LOC101930531///LOC101930288
		CENPH
		MIR1908///FADS1
		LOC100505985
		GPI
		LARS
		TSEN15
		F9
		AZGP1P1///AZGP1
		IGFALS
		ZMYND8
		RASGRP2
		TAP1
		HSPB11
		PTPRB
		EHMT2
		ERMP1
		CCNG2
		PRRG4
		SLC47A1
		TBXA2R
		IRF6
		LOC101928274///VSIG10
		IFT80
		IDNK
		MT1M
		CXCL11
		ANTXR2
		MYO10
		MASTL
		ENAH
		HSPA4L
		SMC4
		PLXNC1
		RASEF
		POGK
		ECM1
		CNGA1
		CLDN7
		CD58
		C1orf21
		HOXA3
		ABHD15
		TMEM165
		TUBA1B
		KIAA0196
		ABCC4
		MPC1
		MS4A6A
		TIGD1
		PIK3R3
		FAM169A
		FCN2
		CYP4V2
		F11
		DNALI1
		NMRAL1P1
		PFN2
		COG2
		ARPC5
		MCM3
		FAM149A
		CYP2A6
		ABCA8
		SLC19A3
		PGLYRP2
		TENM1
		LEF1
		SLC22A1
		STEAP4
		IL13RA2
		C4orf19
		CDC42SE1
		HPR
		SATB2
		TEAD2
		IGHM
		TUFT1
		MFSD2A
		SUB1
		AIM1
		RHNO1
		GSN
		GAS2L3
		APOA5
		SNORD77///SNORD76///SNORD74///GAS5///SNORD44///SNORD47///SNORD80///SNORD79///SNORD81
		HOGA1
		SULT1A1
		CHST4
		GGPS1
		CFHR4
		DBT
		PPP1R3B
		SLC1A2
		LPCAT2
		ZEB1-AS1
		ASPA
		ITGAV
		TMEM209
		CCL15-CCL14///CCL14
		GDAP1
		PCNA
		PDPR
		ARHGEF3
		EDNRB
		EGLN1
		SCD
		MAN1C1
		EPRS
		COX20
		GM2A
		KYNU
		SAA2-SAA4///SAA4
		LOC100287413///GLYATL1
		CAPG
		ST3GAL6
		ROBO1
		SLAMF8
		MPZL1
		ADAM9
		MAD1L1
		LGSN
		ALDH1B1
		UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J
		EIF5A2
		KIF2C
		KBTBD11
		PCK1
		MYO5A
		ADAM10
		GBP2
		ZNF217
		SLC6A13
		VWF
		ACVR1C
		HEXB
		TPM1
		EBF1
		ZNF101
		CYP2E1
		KDM8
		ACO1
		ABI3BP
		CTH
		ATF5
		GRHPR
		GABARAPL1
		PRRC2C
		CYB5D2
		ARRB1
		VSIG4
		AGTR1
		USP2
		CYP2A13
		SFN
		CYYR1
		IL1RAP
		SMPX
		RDH16
		PER2
		CDC20
		ACSL5
		RBM12B
		TMEM27
		AFM
		HPGD
		DNAJC12
		FKBP1B
		DNAJB6
		CYP4A11
		HIST1H2BJ///HIST1H2BG
		TES
		PRKAG2
		OSBPL6
		AGXT2
		H2AFZ
		ILF3
		MT1X
		RFC4
		H2AFX
		DDTL///DDT
		PLOD3
		C7
		NIPAL2
		LRP10
		DCAF16
		BUB1
		PBK
		ZBED8
		ALDOA
		CTNNA3
		SPATS2
		DIS3L2
		GDPD1
		BMPER
		AADAT
		PRR11
		RFXANK
		NUDT3
		TRIP13
		LAMC1
		NEB
		GPR88
		SMYD2
		ACADS
		CPED1
		CCDC93
		HMGB2
		EPHX2
		CDC7
		HEATR1
		DUXAP10
		GLMP
		PSMD14
		FAM151A
		PDCD2
		LIMK2
		LOC101928195///LOC100996643///MTHFD1L
		MVP
		RNF165
		TGDS
		GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2
		ACSM5
		ADGRG6
		RNF213
		OLMALINC///PP7080
		LINC00844
		ZNF618
		DNAJC6
		SMIM24
		PGM2
		TUBE1
		CREB3L2
		CNTN3
		ACYP1
		ZBTB37
		DIRAS3
		ETNPPL
		PRKAA2
		CD163
		SIGIRR
		DPT
		SULT1E1
		PRKAR2B
		DNAJC14
		OGT
		ABCG2
		LOC101930324///NSF
		EPPK1
		HPD
		FAM13C
		MIR6778///SHMT1
		DPF3
		SLC25A47
		H2AFJ
		EDIL3
		INSIG2
		NUP98
		SMC2
		IKBIP
		COLCA2
		PTPRS
		PECAM1
		ARHGEF37
		TMEM9
		FLJ22763
		TAF1A
		SKAP1
		SOCS7
		PDE2A
		MARCKS
		FITM1
		AGBL3
		UBE2S
		TLE1
		TMEM65
		NCKAP5
		UBR5-AS1
		MGLL
		PTPRD
		CYP4X1
		CD24
		PRG4
		ARHGAP18
		TTR
		CYP1A2
		PLEK2
		ACADSB
		HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I
		HGD
		CDCA3
		TCP10L
		MIR3620///ARF1
		CDO1
		LIME1
		PXDC1
		FAM198B
		PLCB1
		SRXN1
		KIAA0907
		LOXL2
		ATAD2
		KNL1
		HOMER2
		DNMT1
		FABP1
		ETFDH
		PEA15
		LPA
		CD5L
		GUCY1A2
		POLR2K
		NPC1L1
		C8B
		TAT
		GSPT2
		STIL
		LIFR
		UBE2C
		NQO1
		STXBP6
		ZSCAN2
		EXPH5
		COLEC10
		RAB3B
		KDM4C
		TPGS2
		POLE2
		ERBB3
		VNN1
		CYP2C18
		SRPK2
		SERPINB1
		NECTIN3
		SLC1A1
		SLC1A4
		PSAT1
		KIFC2
		ZNF226
		FIGNL1
		AGPAT2
		ALDH8A1
		P2RX5-TAX1BP3///TAX1BP3
		LOC101928589///TMEM164
		MMAA
		AZGP1
		CLU
		PAMR1
		ABCC10
		GNMT
		CXCL12
		RAB29
		ESF1
		RRM2
		MICB
		COG5
		MDK
		KLHL12
		SLC35F6///CENPA
		TOP2A
		FEN1
		EHD3
		MSANTD3-TMEFF1///TMEFF1
		WDR72
		TNFAIP8
		HELLS
		FANCI
		PAQR5
		TUBG1
		ADK
		LOC101927705///P4HA2
		MSI2
		ACAA1
		SPARCL1
		CA2
		FOXF1
		NCAPD2
		CTBS
		MARC2
		ASNS
		UBAP2L
		PRR34-AS1
		GSTA3
		GPR146
		SORD
		ST6GAL2
		SLC41A2
		MAP2
		GLYAT
		TGFA
		EP300-AS1
		ANPEP
		PROM1
		ADH1A
		BLOC1S1-RDH5///RDH5
		C21orf91
		ZFYVE26
		ANGPTL6
		TUSC1
		MED28
		PMS2P5
		SLC17A2
		MSH2
		RIT1
		HIF1AN
		ITM2A
		BUB1B
		EIF4E3
		OLFML2B
		S100A10
		MAGEA1
		KLHL29
		PAIP2B
		MAT1A
		MSRA
		ZSWIM5
		LECT2
		CMBL
		TXLNGY
		LOC286052
		CEP41
		MPDZ
		MS4A7
		PCDH9
		OSBPL11
		ADAMTS13
		HEXIM2
		CBLN3
		IYD
		RNASEH2A
		HFE
		MAP1B
		CYP2C8
		CAP2
		RBMS3
		DSEL
		SEPT8
		DTL
		GNA14
		FAM83D
		ACMSD
		IL33
		MLEC
		MIR6756///MCAM
		EFCAB2
		HHIP
		HAAO
		C8orf76
		BTBD19
		ADH1B
		PEMT
		SLC38A1
		SARDH
		TOMM40L
		MMD
		RBBP5
		ZGPAT///LIME1
		GUSBP3///SMA5///SMA4
		WSB2
		PKM
		GBAP1
		LY6E
		GPD2
		GABARAPL3///GABARAPL1
		GCAT
		HOTS
		ITGA9
		PITPNM3
		LYRM4
		CANX
		TKFC
		DESI2
		FCN3
		FOLH1B///FOLH1
		GBA3
		TMEM55A
		FAM217B
		MCM6
		RNF125
		ECHDC2
		SMA4
		CLEC4G
		PLG///LPA
		GNPAT
		GMNN
		TJP2
		CYP2B6
		SCRIB
		PAPLN
		FZD6
		GBAP1///GBA
		CASC7///AGO2
		CUX1
		PON2
		KIF20A
		ANKRD27
		MALAT1
		CDC42SE2
		PPP1R3C
		RAD21
		RRAGD
		CKAP5
		MAP2K1
		ANK3
		FAM65C
		CLRN3
		ARSE
		CFHR3
		SF3B4
		RUSC1-AS1
		H2BFS
		ADH6
		SAE1
		MT1H
		DSN1
		PRSS8
		TDO2
		HSD11B1
		LCN2
		KDM5D
		BMS1P20
		VIPR1
		CBX5
		LOC101928916///NNMT
		PLAC8
		GPT2
		ALDOB
		LAMA4
		RNF157
		CFP
		LINC00238
		MAP4K4
		NR1I2
		LMNA
		LOC727916
		ASCL1
		FTCD
		HKDC1
		NUP43
		CTHRC1
		UHRF1
		HIP1
		BCAT1
		SGO2
		CDKN2A
		LOC101927157///NIPAL1
		HMGA1
		ACOX2
		TESC
		TFPI2
		LHX2
		PTH1R
		NOTCH3
		LOC100134445
		RBP1
		NPL
		ADAMTSL3
		ADGRG7
		PHYHD1
		TTK
		AR
		ZGPAT
		CDKN3
		OGDHL
		ADGRA3
		CYP2J2
		E2F3
		NCAPG
		TFF3
		ABHD6
		TNR
		SLCO4C1
		BAX
		FDPS
		LINC01296///DUXAP10
		SFRP1
		MTMR11
		RMI2
		RPS6KC1
		GOLT1B
		NPC1
		MIB1
		COL6A6
		ATP8B1
		CYP3A4
		TPPP2
		SLC27A5
		GPAT3
		PRODH2
		PRUNE1
		NDRG3
		GLS2
		GATA4
		ATF7IP2
		CENPF
		SLC25A43
		C6
		NUSAP1
		SMAD5
		SLC16A10
		PTGIS
		C12orf73
		BCKDHB
		MDM4
		KRT23
		VPS13B
		ZNF200
		XPO5
		SMCR8
		DNAJC10
		SLC39A6
		H2AFY
		APBA1
GSE89632	456	MT1B
		ABCC6
		C9orf91
		TBX10
		ARID3C
		ITLN2
		ANKS4B
		GSTCD
		NINL
		FADS1
		BRCA1
		MGC13057
		MIR564
		LIPN
		C5AR1
		CNN1
		C15orf52
		GFPT2
		ANKRD56
		SERPINB9
		ISM1
		ZNF385B
		MRAP
		BTN3A1
		KBTBD3
		PCBP4
		NFKB2
		ORAI3
		IL24
		SBNO2
		MLF1
		CDH15
		ADAM19
		GCK
		ZNF187
		TMEM92
		ZNF331
		CDC42EP3
		PCDH18
		LIF
		MIOX
		GAGE2B
		FCGBP
		KRT222
		PKIB
		CYP7A1
		LONRF2
		LOC730417
		RBPMS
		ELFN1
		PRRX1
		PAQR4
		ABCC6P1
		TNFAIP6
		RALGPS1
		C20orf77
		OAS1
		CHRNB1
		KIAA1161
		C1orf203
		GRHL1
		EDAR
		CCL14
		SNORD11
		PRO0628
		TNFAIP8L3
		IL8
		FLJ41603
		NFKBIZ
		SERTAD1
		EPB49
		MARVELD3
		TNFRSF1A
		C12orf27
		ABCG8
		DGCR5
		DAND5
		WNT5A
		LGALS4
		PTGS2
		OSM
		APOBEC3A
		SLC25A34
		MIR221
		HAS2
		SNORA75
		FCAR
		FLJ42957
		SLC7A6OS
		USP18
		LRRC19
		ACE2
		PIM3
		RNF43
		TRHDE
		JMJD5
		BCAR3
		BCL6
		TRIM14
		ELL
		PITPNM2
		SPTLC3
		C19orf44
		SLC11A1
		MIR21
		IL18RAP
		BCL2A1
		RGS1
		TEAD4
		SLC25A42
		FPR1
		VNN3
		URB2
		LOC388796
		PAQR7
		VIL1
		GGT1
		DBP
		COL5A3
		PPP1R15A
		ODZ3
		NOL4
		PRKCZ
		PNPLA3
		NAT8B
		C11orf52
		PTGER2
		IL10
		SNORA41
		FLJ42280
		PADI4
		OSGIN1
		SLC22A7
		RAX2
		MGC12965
		MTMR4
		TLR7
		GLT8D1
		ZNF878
		DBI
		PDP2
		SNORD11B
		TTC8
		DEFA1
		PALMD
		OAS2
		DBNDD1
		SNORA1
		KLF5
		APOLD1
		ABCC5
		TCAP
		TBX3
		ABHD8
		C6orf142
		OXCT2
		SOCS1
		ATP2B4
		DEFB118
		SLC29A1
		SAA1
		PPRC1
		LOC440570
		FILIP1L
		VCAN
		C7orf54
		IL4R
		ALDH1A3
		ICA1
		C14orf43
		NBL1
		CDKN1A
		SLC7A1
		LAMC2
		SPSB1
		FAM168A
		FPR2
		SPRY4
		GRAP
		IL1B
		DDO
		FLJ45139
		FLJ36031
		MT1A
		LOC55908
		KIF22
		FAM47E
		HLA-C
		CX3CR1
		NCOA7
		MIR886
		PMP22
		SNORA67
		PRPF40B
		CASP4
		MMP19
		VNN2
		AMOT
		XKR4
		STMN2
		MAPK4
		PLAUR
		FBXO2
		RMND1
		RFXDC2
		DIO3OS
		KCNE4
		AP1S1
		CH25H
		GINS2
		SPHK2
		PVR
		AXUD1
		LOC154761
		IFIT3
		MYADM
		RPL39L
		AGPAT9
		C3orf14
		HIVEP1
		RAC1
		NFE2
		S100P
		RTP3
		KLF11
		SYNE2
		SLC22A4
		SNORD53
		IRF1
		GPR3
		SAMD3
		ZNF219
		LOC650293
		RGS16
		SNORA71A
		TGM2
		ARL14
		MANBAL
		EPHA2
		PROK2
		FBXO27
		ANXA13
		HBEGF
		FOXC1
		C19orf25
		ACBD5
		TNFSF10
		TIPARP
		LOC100131726
		SKP2
		SNORA36B
		SLC2A3
		MAP3K14
		TMEM233
		FANCL
		ELF3
		FRAT1
