"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"SPOT_ID"
"hsa-miR-224"	"3.89e-01"	"3.69e-01"	"-0.9135"	"-6.76679"	"-0.21122"	""
"hsa-miR-374b"	"3.89e-01"	"3.70e-01"	"-0.9129"	"-6.76737"	"-0.18656"	""
"S_Control0003"	"4.67e-01"	"4.45e-01"	"-0.7764"	"-6.88317"	"-0.07723"	"CONTROL"
"hsa-let-7g"	"4.68e-01"	"4.46e-01"	"-0.7738"	"-6.88519"	"-0.15266"	"NA"
"hsa-miR-146b"	"4.80e-01"	"4.58e-01"	"0.7538"	"-6.90063"	"0.17877"	""
"hsa-miR-144"	"4.81e-01"	"4.59e-01"	"-0.7515"	"-6.9024"	"-0.20864"	"NA"
"hsa-let-7c"	"4.84e-01"	"4.63e-01"	"-0.7455"	"-6.90693"	"-0.13864"	"NA"
"hsa-miR-30b"	"4.86e-01"	"4.65e-01"	"0.7412"	"-6.91014"	"0.16165"	""
"S_Control0021"	"5.02e-01"	"4.81e-01"	"0.7145"	"-6.92981"	"0.07625"	"CONTROL"
"S_Control0013"	"5.12e-01"	"4.92e-01"	"0.6971"	"-6.94228"	"0.0681"	"CONTROL"
"S_Control0023"	"5.57e-01"	"5.36e-01"	"0.6277"	"-6.98893"	"0.06147"	"CONTROL"
"hsa-miR-451"	"5.72e-01"	"5.51e-01"	"-0.6045"	"-7.0035"	"-0.16299"	""
"S_Control0008"	"5.91e-01"	"5.70e-01"	"0.5754"	"-7.02099"	"0.06443"	"CONTROL"
"hsa-miR-195"	"6.21e-01"	"6.00e-01"	"-0.5308"	"-7.04619"	"-0.11513"	""
"hsa-miR-106b"	"6.54e-01"	"6.33e-01"	"-0.4836"	"-7.07066"	"-0.09531"	"NA"
"hsa-miR-140"	"6.60e-01"	"6.40e-01"	"-0.4738"	"-7.07545"	"-0.08502"	"NA"
"hsa-let-7b"	"6.65e-01"	"6.45e-01"	"-0.4663"	"-7.07905"	"-0.07822"	"NA"
"hsa-miR-374a"	"6.86e-01"	"6.66e-01"	"-0.4365"	"-7.09282"	"-0.09247"	""
"S_Control0033"	"6.92e-01"	"6.73e-01"	"0.4265"	"-7.09728"	"0.0448"	"CONTROL"
"hsa-miR-30c"	"6.95e-01"	"6.77e-01"	"0.4213"	"-7.09951"	"0.09459"	""
"hsa-miR-130a"	"7.00e-01"	"6.83e-01"	"0.4133"	"-7.10295"	"0.08883"	"NA"
"S_Control0018"	"7.22e-01"	"7.06e-01"	"0.3816"	"-7.11586"	"0.03877"	"CONTROL"
"hsa-miR-95"	"7.25e-01"	"7.10e-01"	"0.3764"	"-7.11792"	"0.05828"	""
"hsa-miR-199a"	"7.33e-01"	"7.18e-01"	"0.3645"	"-7.12242"	"0.07511"	""
"hsa-miR-29c"	"8.05e-01"	"7.90e-01"	"-0.2695"	"-7.1534"	"-0.05324"	""
"hsa-miR-126"	"8.06e-01"	"7.92e-01"	"-0.2665"	"-7.15424"	"-0.05014"	"NA"
"S_Control0015"	"8.08e-01"	"7.95e-01"	"0.2622"	"-7.1554"	"0.02577"	"CONTROL"
"hsa-miR-27a;hsa-miR-27b"	"8.11e-01"	"7.99e-01"	"-0.2576"	"-7.15663"	"-0.04534"	""
"hsa-miR-30a"	"8.64e-01"	"8.52e-01"	"-0.1881"	"-7.17261"	"-0.03915"	""
"hsa-miR-125a"	"8.66e-01"	"8.55e-01"	"-0.1842"	"-7.17335"	"-0.04651"	"NA"
"hsa-let-7i"	"8.85e-01"	"8.76e-01"	"-0.1578"	"-7.17801"	"-0.0353"	"NA"
"hsa-let-7f"	"9.09e-01"	"9.01e-01"	"-0.1258"	"-7.18268"	"-0.02568"	"NA"
"hsa-miR-181a"	"9.23e-01"	"9.15e-01"	"0.1075"	"-7.18489"	"0.02187"	""
"hsa-let-7a"	"9.44e-01"	"9.38e-01"	"-0.0787"	"-7.18766"	"-0.01395"	"NA"
"hsa-miR-26a"	"9.49e-01"	"9.44e-01"	"0.0705"	"-7.18829"	"0.01489"	""
"S_Control0016"	"9.59e-01"	"9.55e-01"	"0.0569"	"-7.18918"	"0.00637"	"CONTROL"
"S_Control0031"	"9.70e-01"	"9.68e-01"	"0.0409"	"-7.18999"	"0.00412"	"CONTROL"
"hsa-miR-29a"	"9.70e-01"	"9.68e-01"	"-0.0399"	"-7.19004"	"-0.00765"	""
"hsa-miR-429"	"9.90e-01"	"9.90e-01"	"-0.012"	"-7.19078"	"-0.00331"	""
