"ID"	"adj.P.Val"	"P.Value"	"SPOT_ID"
"hsa-miR-325"	"9.39e-09"	"1.68e-09"	""
"hsa-miR-432*"	"9.79e-09"	"1.78e-09"	""
"hsa-miR-556-5p"	"9.79e-09"	"1.78e-09"	""
"hsa-miR-549"	"9.79e-09"	"1.79e-09"	""
"hsa-miR-330-3p"	"9.89e-09"	"1.84e-09"	""
"hsa-miR-768-5p"	"9.89e-09"	"1.85e-09"	""
"hsa-miR-188-5p"	"9.89e-09"	"1.85e-09"	""
"hsa-miR-33b*"	"9.94e-09"	"1.87e-09"	""
"hsa-miR-588"	"1.04e-08"	"1.98e-09"	""
"hsa-miR-369-5p"	"1.04e-08"	"1.99e-09"	""
"hsa-miR-520g;hsa-miR-520h"	"1.06e-08"	"2.04e-09"	""
"hsa-miR-500*;hsa-miR-502-3p"	"1.07e-08"	"2.07e-09"	""
"hsa-miR-139-3p"	"1.08e-08"	"2.11e-09"	"NA"
"hsa-miR-501-3p"	"1.11e-08"	"2.20e-09"	""
"hsa-miR-648"	"1.11e-08"	"2.20e-09"	""
"hsa-miR-185*"	"1.12e-08"	"2.22e-09"	""
"hsa-miR-518e*;hsa-miR-519a*;hsa-miR-519b-5p;hsa-miR-519c-5p;hsa-miR-522*;hsa-miR-523*"	"1.12e-08"	"2.26e-09"	""
"hsa-miR-610"	"1.12e-08"	"2.26e-09"	""
"hsa-miR-1231"	"1.12e-08"	"2.30e-09"	"NA"
"hsa-miR-337-5p"	"1.12e-08"	"2.31e-09"	""
"hsa-miR-206"	"1.12e-08"	"2.31e-09"	""
"hsa-miR-323-5p"	"1.13e-08"	"2.35e-09"	""
"hsa-miR-199b-5p"	"1.14e-08"	"2.38e-09"	""
"hsa-miR-323-3p"	"1.15e-08"	"2.42e-09"	""
"hsa-miR-31*"	"1.16e-08"	"2.45e-09"	""
"hsa-miR-616"	"1.16e-08"	"2.47e-09"	""
"hsa-miR-600"	"1.16e-08"	"2.49e-09"	""
"hsa-miR-517*"	"1.20e-08"	"2.58e-09"	""
"hsa-miR-454*"	"1.32e-08"	"2.86e-09"	""
"hsa-miR-541*"	"1.35e-08"	"2.96e-09"	""
"hsa-miR-503"	"1.35e-08"	"2.97e-09"	""
"hsa-miR-506"	"1.35e-08"	"2.98e-09"	""
"hsa-miR-593"	"1.35e-08"	"2.99e-09"	""
"hsa-miR-519c-3p"	"1.42e-08"	"3.17e-09"	""
"hsa-miR-573"	"1.45e-08"	"3.26e-09"	""
"hsa-miR-1224-3p"	"1.50e-08"	"3.40e-09"	"NA"
"hsa-miR-770-5p"	"1.51e-08"	"3.43e-09"	""
"hsa-miR-1226*"	"1.51e-08"	"3.46e-09"	"NA"
"hsa-miR-433"	"1.55e-08"	"3.57e-09"	""
"hsa-miR-363*"	"1.68e-08"	"3.88e-09"	""
"hsa-miR-181a*"	"1.70e-08"	"3.95e-09"	""
"hsa-miR-10b"	"1.81e-08"	"4.27e-09"	"NA"
"hsa-miR-373*"	"1.81e-08"	"4.27e-09"	""
"hsa-miR-519d"	"1.82e-08"	"4.31e-09"	""
"hsa-miR-134"	"1.93e-08"	"4.59e-09"	"NA"
"hsa-miR-943"	"1.96e-08"	"4.71e-09"	""
"hsa-miR-30c-1*"	"2.01e-08"	"4.85e-09"	""
"hsa-miR-520e"	"2.03e-08"	"4.92e-09"	""
"hsa-miR-186*"	"2.08e-08"	"5.08e-09"	""
"hsa-miR-551b"	"2.09e-08"	"5.13e-09"	""
"hsa-miR-614"	"2.12e-08"	"5.22e-09"	""
"hsa-miR-125a-3p"	"2.12e-08"	"5.25e-09"	"NA"
"hsa-miR-562"	"2.13e-08"	"5.32e-09"	""
"hsa-miR-891a"	"2.21e-08"	"5.54e-09"	""
"hsa-miR-518a-3p"	"2.21e-08"	"5.57e-09"	""
"hsa-miR-589*"	"2.21e-08"	"5.60e-09"	""
"hsa-miR-644"	"2.23e-08"	"5.69e-09"	""
"hsa-miR-93*"	"2.35e-08"	"6.01e-09"	""
"hsa-miR-509-5p"	"2.37e-08"	"6.10e-09"	""
"hsa-miR-450b-3p"	"2.37e-08"	"6.15e-09"	""
"hsa-miR-513a-3p"	"2.37e-08"	"6.17e-09"	""
"hsa-miR-497*"	"2.40e-08"	"6.27e-09"	""
"hsa-miR-222*"	"2.44e-08"	"6.41e-09"	""
"hsa-miR-377*"	"2.50e-08"	"6.60e-09"	""
"hsa-miR-410"	"2.50e-08"	"6.65e-09"	""
"hsa-miR-630"	"2.64e-08"	"7.05e-09"	""
"hsa-miR-382"	"2.73e-08"	"7.32e-09"	""
"hsa-miR-326"	"2.85e-08"	"7.68e-09"	""
"hsa-miR-92a-2*"	"2.86e-08"	"7.74e-09"	""
"hsa-miR-920"	"2.86e-08"	"7.82e-09"	""
"hsa-miR-545"	"2.86e-08"	"7.86e-09"	""
"hsa-miR-941"	"2.86e-08"	"7.88e-09"	""
"hsa-miR-512-5p"	"2.86e-08"	"7.90e-09"	""
"hsa-miR-634"	"2.95e-08"	"8.19e-09"	""
"hsa-miR-532-3p"	"2.97e-08"	"8.29e-09"	""
"hsa-miR-31"	"3.02e-08"	"8.51e-09"	""
"hsa-miR-539"	"3.02e-08"	"8.55e-09"	""
"hsa-miR-196a*"	"3.02e-08"	"8.55e-09"	""
"hsa-miR-146a*"	"3.13e-08"	"8.92e-09"	"NA"
"hsa-miR-330-5p"	"3.13e-08"	"8.95e-09"	""
"hsa-miR-518b"	"3.14e-08"	"9.01e-09"	""
"hsa-miR-193b*"	"3.17e-08"	"9.18e-09"	""
"hsa-miR-194*"	"3.17e-08"	"9.19e-09"	""
"hsa-miR-34c-3p"	"3.20e-08"	"9.33e-09"	""
"hsa-miR-649"	"3.23e-08"	"9.46e-09"	""
"hsa-miR-520a-3p"	"3.40e-08"	"9.99e-09"	""
"hsa-miR-617"	"3.52e-08"	"1.04e-08"	""
"hsa-miR-124"	"3.52e-08"	"1.05e-08"	"NA"
"hsa-miR-1236"	"3.56e-08"	"1.06e-08"	"NA"
"hsa-miR-135a*"	"3.79e-08"	"1.14e-08"	"NA"
"hsa-miR-367*"	"3.81e-08"	"1.15e-08"	""
"hsa-miR-574-5p"	"3.97e-08"	"1.20e-08"	""
"hsa-miR-1226"	"3.97e-08"	"1.20e-08"	"NA"
"hsa-miR-342-5p"	"4.19e-08"	"1.28e-08"	""
"hsa-miR-603"	"4.29e-08"	"1.31e-08"	""
"hsa-miR-494"	"4.33e-08"	"1.33e-08"	""
"hsa-miR-939"	"4.34e-08"	"1.34e-08"	""
"hsa-miR-629*"	"4.61e-08"	"1.43e-08"	""
"hsa-miR-9*"	"4.66e-08"	"1.45e-08"	""
"hsa-miR-302b*"	"4.67e-08"	"1.46e-08"	""
"hsa-miR-1227"	"4.74e-08"	"1.49e-08"	"NA"
"hsa-miR-208b"	"4.85e-08"	"1.53e-08"	""
"hsa-miR-26a-1*"	"4.85e-08"	"1.54e-08"	""
"hsa-miR-553"	"4.86e-08"	"1.55e-08"	""
"hsa-miR-106a*"	"4.91e-08"	"1.57e-08"	"NA"
"hsa-miR-125b-1*"	"4.95e-08"	"1.59e-08"	"NA"
"hsa-miR-557"	"5.16e-08"	"1.67e-08"	""
"hsa-miR-613"	"5.21e-08"	"1.69e-08"	""
"hsa-miR-518c;hsa-miR-518f"	"5.29e-08"	"1.72e-08"	""
"hsa-miR-331-3p"	"5.53e-08"	"1.81e-08"	""
"hsa-miR-453"	"5.54e-08"	"1.82e-08"	""
"hsa-miR-625"	"5.68e-08"	"1.87e-08"	""
"hsa-miR-302a*"	"5.68e-08"	"1.88e-08"	""
"hsa-miR-499-3p"	"5.79e-08"	"1.93e-08"	""
"hsa-miR-675"	"5.79e-08"	"1.93e-08"	""
"hsa-miR-590-5p"	"5.79e-08"	"1.94e-08"	""
"hsa-miR-496"	"5.83e-08"	"1.97e-08"	""
"hsa-miR-621"	"5.83e-08"	"1.97e-08"	""
"hsa-miR-509-3p"	"5.92e-08"	"2.01e-08"	""
"hsa-miR-616*"	"5.92e-08"	"2.01e-08"	""
"hsa-miR-766"	"5.96e-08"	"2.04e-08"	""
"hsa-miR-138"	"6.08e-08"	"2.08e-08"	"NA"
"hsa-miR-92a-1*"	"6.16e-08"	"2.12e-08"	""
"hsa-miR-96*"	"6.20e-08"	"2.15e-08"	""
"hsa-miR-34c-5p"	"6.20e-08"	"2.15e-08"	""
"hsa-miR-16-1*"	"6.31e-08"	"2.20e-08"	""
"hsa-miR-615-5p"	"6.40e-08"	"2.24e-08"	""
"hsa-miR-708*"	"6.41e-08"	"2.25e-08"	""
"hsa-miR-671-3p"	"6.44e-08"	"2.27e-08"	""
"hsa-miR-572"	"6.51e-08"	"2.30e-08"	""
"hsa-miR-20b*"	"6.58e-08"	"2.34e-08"	""
"hsa-miR-593*"	"6.58e-08"	"2.35e-08"	""
"hsa-miR-542-5p"	"6.58e-08"	"2.35e-08"	""
"hsa-miR-802"	"6.71e-08"	"2.41e-08"	""
"hsa-miR-217"	"6.79e-08"	"2.45e-08"	""
"hsa-miR-371-5p"	"6.87e-08"	"2.49e-08"	""
"hsa-miR-636"	"6.99e-08"	"2.55e-08"	""
"hsa-miR-744*"	"6.99e-08"	"2.55e-08"	""
"hsa-miR-585"	"7.02e-08"	"2.58e-08"	""
"hsa-miR-502-5p"	"7.02e-08"	"2.58e-08"	""
"hsa-miR-513a-5p"	"7.02e-08"	"2.59e-08"	""
"S_Control0011"	"7.14e-08"	"2.65e-08"	"CONTROL"
"hsa-miR-657"	"7.14e-08"	"2.65e-08"	""
"hsa-miR-668"	"7.30e-08"	"2.72e-08"	""
"hsa-miR-629"	"7.36e-08"	"2.75e-08"	""
"hsa-miR-200a*"	"7.94e-08"	"2.98e-08"	""
"hsa-miR-548a-5p"	"8.31e-08"	"3.13e-08"	""
"hsa-miR-187"	"8.47e-08"	"3.21e-08"	""
"hsa-miR-520b;hsa-miR-520c-3p;hsa-miR-520f;hsa-miR-526b*"	"8.47e-08"	"3.21e-08"	""
"hsa-miR-522"	"8.90e-08"	"3.39e-08"	""
"hsa-miR-155*"	"8.94e-08"	"3.41e-08"	""
"hsa-miR-422a"	"8.98e-08"	"3.44e-08"	""
"hsa-miR-584"	"9.14e-08"	"3.52e-08"	""
"hsa-miR-625*"	"9.25e-08"	"3.59e-08"	""
"hsa-miR-933"	"9.25e-08"	"3.60e-08"	""
"hsa-miR-329"	"9.25e-08"	"3.61e-08"	""
"hsa-miR-548c-5p"	"9.25e-08"	"3.61e-08"	""
"hsa-miR-626"	"9.44e-08"	"3.70e-08"	""
"hsa-miR-623"	"9.49e-08"	"3.74e-08"	""
"hsa-miR-378*"	"9.49e-08"	"3.74e-08"	""
"hsa-miR-29b-2*"	"9.57e-08"	"3.79e-08"	""
"hsa-miR-106b*"	"1.06e-07"	"4.21e-08"	"NA"
"hsa-miR-448"	"1.07e-07"	"4.27e-08"	""
"hsa-miR-518e"	"1.20e-07"	"4.80e-08"	""
"hsa-miR-643"	"1.21e-07"	"4.84e-08"	""
"hsa-miR-296-5p"	"1.21e-07"	"4.86e-08"	""
"hsa-miR-891b"	"1.23e-07"	"4.97e-08"	""
"hsa-miR-508-3p"	"1.26e-07"	"5.09e-08"	""
"hsa-miR-548b-5p"	"1.26e-07"	"5.11e-08"	""
"hsa-miR-555"	"1.38e-07"	"5.62e-08"	""
"hsa-miR-548d-5p"	"1.40e-07"	"5.72e-08"	""
"hsa-miR-331-5p"	"1.40e-07"	"5.75e-08"	""
"hsa-miR-767-3p"	"1.41e-07"	"5.82e-08"	""
"hsa-miR-301b"	"1.46e-07"	"6.04e-08"	""
"hsa-miR-516a-3p;hsa-miR-516b*"	"1.48e-07"	"6.12e-08"	""
"hsa-miR-571"	"1.49e-07"	"6.19e-08"	""
"hsa-miR-570"	"1.50e-07"	"6.28e-08"	""
"hsa-miR-567"	"1.51e-07"	"6.32e-08"	""
"hsa-miR-138-1*"	"1.52e-07"	"6.39e-08"	"NA"
"hsa-let-7g*"	"1.62e-07"	"6.84e-08"	"NA"
"hsa-miR-569"	"1.66e-07"	"7.01e-08"	""
"hsa-miR-320"	"1.67e-07"	"7.09e-08"	""
