"ID"	"adj.P.Val"	"P.Value"	"miRNA_ID_LIST"	"SPOT_ID"
"dmo-miR-10_st"	"0.253633"	"1.58e-02"	"dmo-mir-10"	""
"gga-miR-1667_st"	"0.253633"	"1.58e-02"	"gga-mir-1667"	""
"dre-miR-181b_st"	"0.253705"	"1.58e-02"	"dre-mir-181b-1 // dre-mir-181b-2"	""
"mml-miR-605_st"	"0.253772"	"1.58e-02"	"mml-mir-605"	""
"hsa-miR-135a-star_st"	"0.254194"	"1.59e-02"	"hsa-mir-135a-1"	""
"hsa-miR-3613-5p_st"	"0.254194"	"1.59e-02"	"hsa-mir-3613"	""
"hsa-miR-548aa_st"	"0.254194"	"1.59e-02"	"hsa-mir-548aa-1 // hsa-mir-548aa-2"	""
"mdo-miR-26_st"	"0.254194"	"1.59e-02"	"mdo-mir-26-1 // mdo-mir-26-2 // mdo-mir-26-3"	""
"pma-miR-1c-star_st"	"0.254296"	"1.59e-02"	"pma-mir-1c"	""
"cin-miR-15-5p_st"	"0.254296"	"1.59e-02"	"cin-mir-15"	""
"ppa-miR-34a_st"	"0.254296"	"1.59e-02"	"ppa-mir-34a"	""
"eca-miR-486-5p_st"	"0.254296"	"1.60e-02"	"eca-mir-486"	""
"mdo-miR-181b_st"	"0.254296"	"1.60e-02"	"mdo-mir-181b"	""
"rno-miR-511_st"	"0.254296"	"1.60e-02"	"rno-mir-511"	""
"hp_mmu-mir-185_st"	"0.254296"	"1.60e-02"	""	"stem-loop: mmu-mir-185"
"mmu-miR-3473b_st"	"0.25485"	"1.60e-02"	"mmu-mir-3473b"	""
"hsa-miR-3164_st"	"0.25485"	"1.60e-02"	"hsa-mir-3164"	""
"bmo-miR-2785_st"	"0.25546"	"1.61e-02"	"bmo-mir-2785"	""
"dwi-miR-283_st"	"0.255587"	"1.61e-02"	"dwi-mir-283"	""
"hsa-miR-3921_st"	"0.256442"	"1.62e-02"	"hsa-mir-3921"	""
"bmo-miR-2799_st"	"0.256442"	"1.62e-02"	"bmo-mir-2799"	""
"ppc-miR-2264_st"	"0.256456"	"1.62e-02"	"ppc-mir-2264"	""
"hsa-miR-181a_st"	"0.2567"	"1.62e-02"	"hsa-mir-181a-1 // hsa-mir-181a-2"	""
"aly-miR4235_st"	"0.256814"	"1.62e-02"	"aly-MIR4235"	""
"cfa-miR-578_st"	"0.256893"	"1.62e-02"	"cfa-mir-578"	""
"eca-miR-103_st"	"0.257566"	"1.63e-02"	"eca-mir-103"	""
"hp_mmu-mir-199a-2_st"	"0.257566"	"1.63e-02"	""	"stem-loop: mmu-mir-199a-2"
"cfa-miR-15b_st"	"0.258674"	"1.64e-02"	"cfa-mir-15b"	""
"cel-miR-58_st"	"0.258674"	"1.64e-02"	"cel-mir-58"	""
"U64_st"	"0.258674"	"1.64e-02"	""	"HAcaBox: U64"
"pma-miR-4607_st"	"0.258674"	"1.64e-02"	"pma-mir-4607"	""
"HBII-295_st"	"0.258851"	"1.64e-02"	""	"CDBox: HBII-295"
"ath-miR166d_st"	"0.259252"	"1.65e-02"	"ath-MIR166d"	""
"hsa-miR-1538_st"	"0.259735"	"1.65e-02"	"hsa-mir-1538"	""
"ptr-miR-423_st"	"0.259902"	"1.65e-02"	"ptr-mir-423"	""
"ppt-miR166i_st"	"0.259902"	"1.65e-02"	"ppt-MIR166i"	""
"ptr-miR-30a-5p_st"	"0.259902"	"1.66e-02"	"ptr-mir-30a"	""
"ppt-miR533c_st"	"0.259902"	"1.66e-02"	"ppt-MIR533c"	""
"xtr-miR-124_st"	"0.259902"	"1.66e-02"	"xtr-mir-124"	""
"ggo-miR-28_st"	"0.260203"	"1.66e-02"	"ggo-mir-28"	""
"rno-miR-208b-3p_st"	"0.260272"	"1.66e-02"	"rno-mir-208b"	""
"ptr-miR-133b_st"	"0.26077"	"1.66e-02"	"ptr-mir-133b"	""
"ENSG00000199370_st"	"0.260829"	"1.67e-02"	""	"snoRNA: ENSG00000199370"
"tni-miR-181a-star_st"	"0.260829"	"1.67e-02"	"tni-mir-181a-1"	""
"zma-miR2275b-5p_st"	"0.260829"	"1.67e-02"	"zma-MIR2275b"	""
"dps-miR-311-star_st"	"0.260934"	"1.67e-02"	"dps-mir-311"	""
"mmu-miR-5119_st"	"0.261086"	"1.67e-02"	"mmu-mir-5119"	""
"hp_hsa-mir-4463_st"	"0.261374"	"1.67e-02"	""	"stem-loop: hsa-mir-4463"
"hsa-miR-4500_st"	"0.261821"	"1.68e-02"	"hsa-mir-4500"	""
"ssc-miR-105-2_st"	"0.26274"	"1.69e-02"	"ssc-mir-105-2"	""
"crm-miR-784-star_st"	"0.262849"	"1.69e-02"	"crm-mir-784"	""
"dsi-miR-989_st"	"0.262849"	"1.69e-02"	"dsi-mir-989"	""
"hp_hsa-mir-129-1_st"	"0.262849"	"1.69e-02"	""	"stem-loop: hsa-mir-129-1"
"rno-miR-1249_st"	"0.262849"	"1.69e-02"	"rno-mir-1249"	""
"mml-miR-765_st"	"0.262849"	"1.69e-02"	"mml-mir-765"	""
"bmo-miR-932_st"	"0.262849"	"1.69e-02"	"bmo-mir-932"	""
"dme-miR-11-5p_st"	"0.262849"	"1.69e-02"	"dme-mir-11"	""
"ACA61_st"	"0.263154"	"1.70e-02"	""	"HAcaBox: ACA61"
"gga-miR-26a_st"	"0.263254"	"1.70e-02"	"gga-mir-26a"	""
"bta-miR-181c_st"	"0.263318"	"1.70e-02"	"bta-mir-181c"	""
"dpu-miR-263b_st"	"0.263318"	"1.70e-02"	"dpu-mir-263b"	""
"hsa-miR-146a_st"	"0.263462"	"1.70e-02"	"hsa-mir-146a"	""
"bdi-miR5180b_st"	"0.263462"	"1.71e-02"	"bdi-MIR5180b"	""
"fru-miR-218a_st"	"0.263462"	"1.71e-02"	"fru-mir-218a-1 // fru-mir-218a-2"	""
"ppt-miR166a_st"	"0.263476"	"1.71e-02"	"ppt-MIR166a"	""
"tni-miR-218a_st"	"0.263858"	"1.71e-02"	"tni-mir-218a-1 // tni-mir-218a-2"	""
"fru-miR-204_st"	"0.264024"	"1.71e-02"	"fru-mir-204"	""
"mml-miR-652_st"	"0.26537"	"1.72e-02"	"mml-mir-652"	""
"hp_hsa-mir-548ai_x_st"	"0.26537"	"1.72e-02"	""	"stem-loop: hsa-mir-548ai"
"eca-miR-181a_st"	"0.26537"	"1.72e-02"	"eca-mir-181a // eca-mir-181a-2"	""
"odi-miR-1497c_st"	"0.266069"	"1.73e-02"	"odi-mir-1497c"	""
"tca-miR-3856-3p_st"	"0.266395"	"1.73e-02"	"tca-mir-3856"	""
"mmu-miR-652-star_st"	"0.26653"	"1.73e-02"	"mmu-mir-652"	""
"cel-miR-244_st"	"0.266948"	"1.74e-02"	"cel-mir-244"	""
"mtr-miR167_st"	"0.266948"	"1.74e-02"	"mtr-MIR167"	""
"ENSG00000239080_st"	"0.266948"	"1.74e-02"	""	"snoRNA: ENSG00000239080"
"dya-miR-92b_st"	"0.267152"	"1.74e-02"	"dya-mir-92b"	""
"der-miR-31b_st"	"0.267543"	"1.75e-02"	"der-mir-31b"	""
"aly-miR774b-star_st"	"0.267815"	"1.75e-02"	"aly-MIR774b"	""
"hp_hsa-mir-144_st"	"0.267873"	"1.75e-02"	""	"stem-loop: hsa-mir-144"
"ath-miR417_st"	"0.267873"	"1.75e-02"	"ath-MIR417"	""
"hsa-miR-132_st"	"0.267873"	"1.75e-02"	"hsa-mir-132"	""
"sja-miR-3495_st"	"0.26805"	"1.76e-02"	"sja-mir-3495"	""
"ssc-miR-323_st"	"0.268179"	"1.76e-02"	"ssc-mir-323"	""
"bta-miR-2325c_st"	"0.268376"	"1.76e-02"	"bta-mir-2325c"	""
"hsa-miR-4783-3p_st"	"0.268376"	"1.76e-02"	"hsa-mir-4783"	""
"ENSG00000251838_st"	"0.268376"	"1.76e-02"	""	"snoRNA: ENSG00000251838"
"ENSG00000201209_st"	"0.268376"	"1.76e-02"	""	"snoRNA: ENSG00000201209"
"dps-miR-2573_st"	"0.268745"	"1.77e-02"	"dps-mir-2573"	""
"xtr-miR-26_st"	"0.269302"	"1.77e-02"	"xtr-mir-26-1 // xtr-mir-26-2"	""
"dme-miR-4950-5p_st"	"0.269588"	"1.77e-02"	"dme-mir-4950"	""
"aae-miR-283_st"	"0.269588"	"1.77e-02"	"aae-mir-283"	""
"ssc-miR-486_st"	"0.269756"	"1.78e-02"	"ssc-mir-486-1 // ssc-mir-486-2"	""
"sja-miR-3491_st"	"0.269756"	"1.78e-02"	"sja-mir-3491"	""
"U59A_st"	"0.269756"	"1.78e-02"	""	"CDBox: U59A"
"xtr-miR-93b_st"	"0.269756"	"1.78e-02"	"xtr-mir-93b"	""
"hp_rno-mir-3592_st"	"0.269756"	"1.78e-02"	""	"stem-loop: rno-mir-3592"
"gga-miR-203_st"	"0.269899"	"1.78e-02"	"gga-mir-203"	""
"bdi-miR160a_st"	"0.270057"	"1.79e-02"	"bdi-MIR160a"	""
"hsa-miR-509-3p_st"	"0.270098"	"1.79e-02"	"hsa-mir-509-1 // hsa-mir-509-2 // hsa-mir-509-3"	""
"ptr-miR-1280_st"	"0.270101"	"1.79e-02"	"ptr-mir-1280"	""
"hsa-miR-4329_st"	"0.270101"	"1.79e-02"	"hsa-mir-4329"	""
"mml-miR-103_st"	"0.270101"	"1.79e-02"	"mml-mir-103-1 // mml-mir-103-2"	""
"tni-miR-100_st"	"0.270333"	"1.79e-02"	"tni-mir-100"	""
"eca-miR-450b-5p_st"	"0.270333"	"1.79e-02"	"eca-mir-450b"	""
"ssc-miR-107_st"	"0.270333"	"1.80e-02"	"ssc-mir-107"	""
"pma-miR-138a_st"	"0.270451"	"1.80e-02"	"pma-mir-138a"	""
"eca-miR-34b-5p_st"	"0.2709"	"1.80e-02"	"eca-mir-34b"	""
"ghr-miR156d_st"	"0.27113"	"1.80e-02"	"ghr-MIR156d"	""
"rno-miR-103_st"	"0.27113"	"1.80e-02"	"rno-mir-103-1 // rno-mir-103-2"	""
"cin-miR-4072-5p_st"	"0.271184"	"1.81e-02"	"cin-mir-4072"	""
"cfa-miR-410_st"	"0.271184"	"1.81e-02"	"cfa-mir-410"	""
"aly-miR397a_st"	"0.271184"	"1.81e-02"	"aly-MIR397a"	""
"eca-miR-154_st"	"0.271184"	"1.81e-02"	"eca-mir-154"	""
"hp_hsa-mir-320b-1_x_st"	"0.271184"	"1.81e-02"	""	"stem-loop: hsa-mir-320b-1"
"aly-miR399a_st"	"0.271437"	"1.81e-02"	"aly-MIR399a"	""
"mmu-miR-181c_st"	"0.271471"	"1.81e-02"	"mmu-mir-181c"	""
"hsa-miR-1279_st"	"0.271606"	"1.82e-02"	"hsa-mir-1279"	""
"hp_hsa-mir-570_x_st"	"0.271606"	"1.82e-02"	""	"stem-loop: hsa-mir-570"
"sbi-miR437q_st"	"0.271606"	"1.82e-02"	"sbi-MIR437q"	""
"tcc-miR164a_st"	"0.271606"	"1.82e-02"	"tcc-MIR164a"	""
"rno-miR-98-star_st"	"0.271606"	"1.82e-02"	"rno-mir-98"	""
"pab-miR482b_st"	"0.272016"	"1.83e-02"	"pab-MIR482b"	""
"osa-miR166j_st"	"0.272016"	"1.83e-02"	"osa-MIR166j"	""
"pma-miR-140_st"	"0.272173"	"1.83e-02"	"pma-mir-140"	""
"cfa-miR-31_st"	"0.273242"	"1.84e-02"	"cfa-mir-31"	""
"eca-miR-93_st"	"0.273242"	"1.84e-02"	"eca-mir-93"	""
"rno-miR-2985_st"	"0.273308"	"1.84e-02"	"rno-mir-2985"	""
"tgu-miR-30d-5p_st"	"0.273308"	"1.84e-02"	"tgu-mir-30d"	""
"mtr-miR2637_st"	"0.27353"	"1.84e-02"	"mtr-MIR2637"	""
"odi-let-7b_st"	"0.27353"	"1.84e-02"	"odi-let-7b"	""
"bta-miR-181a_st"	"0.273564"	"1.85e-02"	"bta-mir-181a-1 // bta-mir-181a-2"	""
"hsa-miR-4787-3p_st"	"0.273564"	"1.85e-02"	"hsa-mir-4787"	""
"csa-miR-124_st"	"0.273564"	"1.85e-02"	"csa-mir-124-1 // csa-mir-124-2"	""
"U83A_st"	"0.273564"	"1.85e-02"	""	"CDBox: U83A"
"tca-miR-3859-5p_st"	"0.273564"	"1.85e-02"	"tca-mir-3859"	""
"bfl-miR-2059-5p_st"	"0.273564"	"1.85e-02"	"bfl-mir-2059"	""
"oan-miR-1415_st"	"0.273564"	"1.85e-02"	"oan-mir-1415"	""
"aly-miR165a_st"	"0.273564"	"1.86e-02"	"aly-MIR165a"	""
"eca-miR-146a_st"	"0.273564"	"1.86e-02"	"eca-mir-146a"	""
"age-miR-18_st"	"0.273564"	"1.86e-02"	"age-mir-18"	""
"hp_hsa-mir-4687_st"	"0.273564"	"1.86e-02"	""	"stem-loop: hsa-mir-4687"
"U73a_st"	"0.273564"	"1.86e-02"	""	"CDBox: U73a"
"dme-miR-87-3p_st"	"0.273564"	"1.86e-02"	"dme-mir-87"	""
"sla-miR-34a_st"	"0.273564"	"1.86e-02"	"sla-mir-34a"	""
"hp_hsa-mir-3663_st"	"0.273564"	"1.86e-02"	""	"stem-loop: hsa-mir-3663"
"ssc-miR-382_st"	"0.273564"	"1.87e-02"	"ssc-mir-382"	""
"eca-miR-628a_st"	"0.273564"	"1.87e-02"	"eca-mir-628a"	""
"ENSG00000252291_x_st"	"0.273564"	"1.87e-02"	""	"snoRNA: ENSG00000252291"
"mne-miR-107_st"	"0.273564"	"1.87e-02"	"mne-mir-107"	""
"dse-miR-308_st"	"0.273564"	"1.87e-02"	"dse-mir-308"	""
"dre-miR-103_st"	"0.273564"	"1.87e-02"	"dre-mir-103"	""
"mdo-miR-182_st"	"0.273564"	"1.87e-02"	"mdo-mir-182"	""
"dpe-miR-314_st"	"0.273564"	"1.87e-02"	"dpe-mir-314"	""
"ptr-miR-484_st"	"0.273564"	"1.87e-02"	"ptr-mir-484"	""
"cfa-miR-181c_st"	"0.273564"	"1.87e-02"	"cfa-mir-181c"	""
"ptr-miR-548a_st"	"0.273564"	"1.87e-02"	"ptr-mir-548a-1 // ptr-mir-548a-2"	""
"aly-miR774b_st"	"0.273564"	"1.87e-02"	"aly-MIR774b"	""
"hsa-miR-25_st"	"0.273564"	"1.88e-02"	"hsa-mir-25"	""
"bta-miR-185_st"	"0.273564"	"1.88e-02"	"bta-mir-185"	""
"crm-miR-2230_st"	"0.273707"	"1.88e-02"	"crm-mir-2230"	""
"dps-miR-9c_st"	"0.273707"	"1.88e-02"	"dps-mir-9c"	""
"osa-miR166n_st"	"0.274005"	"1.88e-02"	"osa-MIR166n"	""
"sko-miR-92c_st"	"0.274005"	"1.88e-02"	"sko-mir-92c"	""
"mne-miR-29a_st"	"0.27434"	"1.89e-02"	"mne-mir-29a"	""
"ppy-miR-181d_st"	"0.27434"	"1.89e-02"	"ppy-mir-181d"	""
"tgu-miR-34a_st"	"0.27434"	"1.89e-02"	"tgu-mir-34a"	""
"aly-miR158b_st"	"0.27434"	"1.89e-02"	"aly-MIR158b"	""
"ACA54_st"	"0.27492"	"1.89e-02"	""	"HAcaBox: ACA54"
"dsi-miR-311_st"	"0.275047"	"1.90e-02"	"dsi-mir-311"	""
"oan-miR-181b_st"	"0.27553"	"1.90e-02"	"oan-mir-181b"	""
"eca-miR-412_st"	"0.27553"	"1.91e-02"	"eca-mir-412"	""
"ppy-miR-139-3p_st"	"0.27553"	"1.91e-02"	"ppy-mir-139"	""
"dse-miR-1_st"	"0.27553"	"1.91e-02"	"dse-mir-1"	""
"mmu-miR-378-star_st"	"0.27553"	"1.91e-02"	"mmu-mir-378"	""
"oan-miR-1421ag_st"	"0.27553"	"1.91e-02"	"oan-mir-1421ag-1 // oan-mir-1421ag-2"	""
"ppy-miR-382_st"	"0.27553"	"1.91e-02"	"ppy-mir-382"	""
"oan-miR-22-star_st"	"0.27553"	"1.91e-02"	"oan-mir-22"	""
"csi-miR482c_st"	"0.27553"	"1.91e-02"	"csi-MIR482c"	""
"rno-miR-125a-5p_st"	"0.275643"	"1.91e-02"	"rno-mir-125a"	""
"mml-miR-27a_st"	"0.275785"	"1.92e-02"	"mml-mir-27a"	""
"ENSG00000238885_x_st"	"0.275785"	"1.92e-02"	""	"snoRNA: ENSG00000238885"
"vvi-miR166e_st"	"0.275785"	"1.92e-02"	"vvi-MIR166e"	""
"sme-miR-756_st"	"0.275785"	"1.92e-02"	"sme-mir-756"	""
"spu-miR-2008_st"	"0.275785"	"1.92e-02"	"spu-mir-2008"	""
"api-miR-210_st"	"0.275984"	"1.92e-02"	"api-mir-210-1 // api-mir-210-2"	""
"ppa-miR-103_st"	"0.276329"	"1.92e-02"	"ppa-mir-103"	""
"zma-miR396h_st"	"0.276329"	"1.93e-02"	"zma-MIR396h"	""
"hp_hsa-mir-1228_st"	"0.27674"	"1.93e-02"	""	"stem-loop: hsa-mir-1228"
"tni-miR-204b_st"	"0.276766"	"1.93e-02"	"tni-mir-204b"	""
"hsa-miR-486-5p_st"	"0.276766"	"1.93e-02"	"hsa-mir-486"	""
"dre-miR-181a-star_st"	"0.276766"	"1.93e-02"	"dre-mir-181a-1"	""
"hp_rno-mir-92a-2_x_st"	"0.277002"	"1.94e-02"	""	"stem-loop: rno-mir-92a-2"
"ssc-miR-130b_st"	"0.277023"	"1.94e-02"	"ssc-mir-130b"	""
"bma-miR-153_st"	"0.277023"	"1.94e-02"	"bma-mir-153"	""
"hp_hsa-mir-217_st"	"0.277282"	"1.94e-02"	""	"stem-loop: hsa-mir-217"
"dsi-miR-987-star_st"	"0.277282"	"1.94e-02"	"dsi-mir-987-1 // dsi-mir-987-2"	""
"cel-miR-48-star_st"	"0.277282"	"1.94e-02"	"cel-mir-48"	""
"hp_rno-let-7b_x_st"	"0.277282"	"1.94e-02"	""	"stem-loop: rno-let-7b"
"ppa-miR-124a_st"	"0.277282"	"1.95e-02"	"ppa-mir-124a"	""
"ppy-miR-455-3p_st"	"0.277511"	"1.95e-02"	"ppy-mir-455"	""
"ptc-miR166q_st"	"0.277511"	"1.95e-02"	"ptc-MIR166q"	""
"U38A_st"	"0.277511"	"1.95e-02"	""	"CDBox: U38A"
"sbi-miR169o_st"	"0.277511"	"1.95e-02"	"sbi-MIR169o"	""
"vvi-miR160d_st"	"0.277511"	"1.95e-02"	"vvi-MIR160d"	""
"mmu-miR-107_st"	"0.277511"	"1.95e-02"	"mmu-mir-107"	""
"cte-miR-1992_st"	"0.277511"	"1.96e-02"	"cte-mir-1992"	""
"ENSG00000251795_st"	"0.277511"	"1.96e-02"	""	"snoRNA: ENSG00000251795"
"tcc-miR172a_st"	"0.277646"	"1.96e-02"	"tcc-MIR172a"	""
"tcc-miR395b_st"	"0.278135"	"1.96e-02"	"tcc-MIR395b"	""
"cte-miR-2685-star_st"	"0.278161"	"1.97e-02"	"cte-mir-2685"	""
"hvt-miR-H3-3p_st"	"0.278161"	"1.97e-02"	"hvt-mir-H3"	""
"AFFX-r2-Ec-c3-bioD-3_at"	"0.278161"	"1.97e-02"	""	"--Affymetrix Control Sequence"
"dsi-miR-275_st"	"0.278161"	"1.97e-02"	"dsi-mir-275"	""
"gga-miR-15a_st"	"0.278438"	"1.97e-02"	"gga-mir-15a"	""
"hp_hsa-mir-3167_st"	"0.278438"	"1.97e-02"	""	"stem-loop: hsa-mir-3167"
"hsa-miR-2682-star_st"	"0.278438"	"1.97e-02"	"hsa-mir-2682"	""
"sja-miR-277_st"	"0.278539"	"1.98e-02"	"sja-mir-277"	""
"ENSG00000252404_st"	"0.278539"	"1.98e-02"	""	"snoRNA: ENSG00000252404"
"tgu-miR-29a_st"	"0.278539"	"1.98e-02"	"tgu-mir-29a-1 // tgu-mir-29a-2"	""
"dvi-miR-10_st"	"0.278539"	"1.98e-02"	"dvi-mir-10"	""
"age-miR-103_st"	"0.278877"	"1.98e-02"	"age-mir-103"	""
"hp_mmu-mir-1948_st"	"0.278908"	"1.98e-02"	""	"stem-loop: mmu-mir-1948"
"ebv-miR-BART7-star_st"	"0.279379"	"1.99e-02"	"ebv-mir-BART7"	""
"sly-miR482_st"	"0.279578"	"1.99e-02"	"sly-MIR482"	""
"ame-miR-318_st"	"0.279848"	"1.99e-02"	"ame-mir-318"	""
"fru-miR-29b_st"	"0.27997"	"1.99e-02"	"fru-mir-29b-1 // fru-mir-29b-2"	""
"mml-miR-423-3p_st"	"0.27997"	"2.00e-02"	"mml-mir-423"	""
"ggo-miR-30b_st"	"0.280129"	"2.00e-02"	"ggo-mir-30b"	""
"dme-miR-4966-5p_st"	"0.280129"	"2.00e-02"	"dme-mir-4966"	""
"mne-miR-181b_st"	"0.280129"	"2.00e-02"	"mne-mir-181b"	""
"hp_mmu-let-7i_st"	"0.280129"	"2.00e-02"	""	"stem-loop: mmu-let-7i"
"ENSG00000221400_st"	"0.280129"	"2.00e-02"	""	"snoRNA: ENSG00000221400"
"nve-miR-2024f-star_st"	"0.280129"	"2.00e-02"	"nve-mir-2024f"	""
"vvi-miR156d_st"	"0.280129"	"2.01e-02"	"vvi-MIR156d"	""
"hsa-miR-4733-5p_st"	"0.280129"	"2.01e-02"	"hsa-mir-4733"	""
"bna-miR166d_st"	"0.280267"	"2.01e-02"	"bna-MIR166d"	""
"sme-miR-10a-5p_st"	"0.28042"	"2.01e-02"	"sme-mir-10a"	""
"sme-miR-2d-5p_st"	"0.28042"	"2.02e-02"	"sme-mir-2d"	""
"ppt-miR166d_st"	"0.28042"	"2.02e-02"	"ppt-MIR166d"	""
"mml-miR-128a_st"	"0.28042"	"2.02e-02"	"mml-mir-128a"	""
"bta-miR-181d_st"	"0.28042"	"2.02e-02"	"bta-mir-181d"	""
"ptc-miR166h_st"	"0.28042"	"2.02e-02"	"ptc-MIR166h"	""
"cfa-miR-216b_st"	"0.28042"	"2.02e-02"	"cfa-mir-216b"	""
"sma-miR-125a_st"	"0.28042"	"2.02e-02"	"sma-mir-125a"	""
"ptc-miR395j_st"	"0.28042"	"2.02e-02"	"ptc-MIR395j"	""
"tgu-miR-155_st"	"0.28042"	"2.02e-02"	"tgu-mir-155"	""
"zma-miR166c_st"	"0.28042"	"2.02e-02"	"zma-MIR166c"	""
"mmu-miR-423-3p_st"	"0.28042"	"2.03e-02"	"mmu-mir-423"	""
"aae-miR-11-star_st"	"0.28042"	"2.03e-02"	"aae-mir-11"	""
"hsa-miR-1183_st"	"0.28042"	"2.03e-02"	"hsa-mir-1183"	""
"cqu-miR-965_st"	"0.28042"	"2.03e-02"	"cqu-mir-965"	""
"ENSG00000251778_st"	"0.28042"	"2.03e-02"	""	"snoRNA: ENSG00000251778"
"bta-miR-105b_st"	"0.280556"	"2.03e-02"	"bta-mir-105b"	""
"hp_hsa-mir-423_s_st"	"0.280556"	"2.03e-02"	""	"stem-loop: hsa-mir-423"
"hsa-miR-3064-5p_st"	"0.280997"	"2.03e-02"	"hsa-mir-3064"	""
"ptr-miR-1237_st"	"0.281036"	"2.04e-02"	"ptr-mir-1237"	""
"gma-miR1520h_st"	"0.281337"	"2.04e-02"	"gma-MIR1520h"	""
"ptr-miR-345_st"	"0.281337"	"2.04e-02"	"ptr-mir-345"	""
"rno-miR-433-star_st"	"0.281337"	"2.04e-02"	"rno-mir-433"	""
"mmu-miR-93_st"	"0.281442"	"2.04e-02"	"mmu-mir-93"	""
"lgi-miR-252b_st"	"0.281442"	"2.04e-02"	"lgi-mir-252b"	""
"dme-miR-31b-3p_st"	"0.281467"	"2.05e-02"	"dme-mir-31b"	""
"gga-miR-1776_st"	"0.282057"	"2.05e-02"	"gga-mir-1776"	""
"tni-miR-128_st"	"0.282403"	"2.05e-02"	"tni-mir-128-1 // tni-mir-128-2"	""
"osa-miR1859_st"	"0.282447"	"2.06e-02"	"osa-MIR1859"	""
"eca-miR-423-5p_st"	"0.282466"	"2.06e-02"	"eca-mir-423"	""
"lla-miR-181a_st"	"0.282539"	"2.06e-02"	"lla-mir-181a-1"	""
"ppy-miR-320b_st"	"0.282666"	"2.06e-02"	"ppy-mir-320b-1 // ppy-mir-320b-2"	""
"hp_mmu-mir-466d_x_st"	"0.282945"	"2.06e-02"	""	"stem-loop: mmu-mir-466d"
"xtr-miR-181a_st"	"0.283587"	"2.07e-02"	"xtr-mir-181a-1 // xtr-mir-181a-2"	""
"dan-miR-310_st"	"0.284951"	"2.08e-02"	"dan-mir-310"	""
"mne-miR-181a_st"	"0.28519"	"2.08e-02"	"mne-mir-181a-1 // mne-mir-181a-2"	""
"hp_hsa-mir-3945_st"	"0.286288"	"2.09e-02"	""	"stem-loop: hsa-mir-3945"
"ptr-miR-664_st"	"0.286625"	"2.10e-02"	"ptr-mir-664"	""
"crm-miR-63_st"	"0.286771"	"2.10e-02"	"crm-mir-63"	""
"mml-miR-628-5p_st"	"0.286844"	"2.10e-02"	"mml-mir-628"	""
"mml-miR-376b_st"	"0.286844"	"2.10e-02"	"mml-mir-376b"	""
"ghr-miR827a_st"	"0.287688"	"2.11e-02"	"ghr-MIR827a"	""
"osa-miR166e_st"	"0.287688"	"2.11e-02"	"osa-MIR166e"	""
"U97_st"	"0.28769"	"2.11e-02"	""	"CDBox: U97"
"hiv1-miR-H1_st"	"0.28772"	"2.11e-02"	"hiv1-mir-H1"	""
"bta-miR-25_st"	"0.28777"	"2.11e-02"	"bta-mir-25"	""
"ppy-miR-181a_st"	"0.288944"	"2.12e-02"	"ppy-mir-181a-1 // ppy-mir-181a-2"	""
"ptc-miR166g_st"	"0.288944"	"2.13e-02"	"ptc-MIR166g"	""
"bmo-miR-3216_st"	"0.290325"	"2.14e-02"	"bmo-mir-3216"	""
"ath-miR853_st"	"0.290325"	"2.14e-02"	"ath-MIR853"	""
"hsa-miR-103a_st"	"0.29036"	"2.14e-02"	"hsa-mir-103a-1 // hsa-mir-103a-2"	""
"sko-miR-31_st"	"0.290545"	"2.14e-02"	"sko-mir-31"	""
"gga-miR-1709_st"	"0.290573"	"2.14e-02"	"gga-mir-1709"	""
"dps-let-7_st"	"0.290735"	"2.15e-02"	"dps-let-7"	""
"rno-miR-708_st"	"0.290943"	"2.15e-02"	"rno-mir-708"	""
"ppy-miR-25_st"	"0.291022"	"2.15e-02"	"ppy-mir-25"	""
"csa-miR-92c_st"	"0.291081"	"2.15e-02"	"csa-mir-92c"	""
"cin-miR-181_st"	"0.291155"	"2.15e-02"	"cin-mir-181"	""
"mmu-miR-137-star_st"	"0.29126"	"2.16e-02"	"mmu-mir-137"	""
"eca-miR-18a_st"	"0.291644"	"2.16e-02"	"eca-mir-18a"	""
"hsa-miR-339-5p_st"	"0.291644"	"2.16e-02"	"hsa-mir-339"	""
"tca-miR-12-3p_st"	"0.291644"	"2.16e-02"	"tca-mir-12"	""
"dps-miR-10_st"	"0.291722"	"2.16e-02"	"dps-mir-10"	""
"mne-miR-34a_st"	"0.291722"	"2.16e-02"	"mne-mir-34a"	""
"fru-miR-460_st"	"0.291962"	"2.17e-02"	"fru-mir-460"	""
"ppt-miR529a_st"	"0.292178"	"2.17e-02"	"ppt-MIR529a"	""
"ppy-miR-27a_st"	"0.292178"	"2.17e-02"	"ppy-mir-27a"	""
"pma-miR-4631_st"	"0.292601"	"2.18e-02"	"pma-mir-4631"	""
"tca-miR-3824-5p_st"	"0.292601"	"2.18e-02"	"tca-mir-3824"	""
"snR39B_st"	"0.292751"	"2.18e-02"	""	"CDBox: snR39B"
"mdm-miR482_st"	"0.293124"	"2.18e-02"	"mdm-MIR482"	""
"csi-miR171b_st"	"0.294001"	"2.19e-02"	"csi-MIR171b"	""
"osa-miR2928_st"	"0.294001"	"2.19e-02"	"osa-MIR2928"	""
"bdi-miR5056_st"	"0.294163"	"2.19e-02"	"bdi-MIR5056"	""
"hsa-miR-125a-3p_st"	"0.294473"	"2.20e-02"	"hsa-mir-125a"	""
